trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.8419791731684999, 'e': 0.17906614791149325}",20,0,4.496338292057734,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.8411376148446232, 'e': 0.17728440996987782}",20,16,8.765520799957496,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8402968976584314, 'e': 0.1755204006169969}",20,0,-38.584105152137035,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
175,False,"{'a': 0.8394570207692074, 'e': 0.17377394345044514}",20,14,0.34964227539606885,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.838617983337074, 'e': 0.17204486382305054}",25,16,16.05351687527823,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8377797845229938, 'e': 0.17033298882540945}",25,14,-1.6350261957489556,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
178,False,"{'a': 0.8369424234887681, 'e': 0.16863814726859552}",30,7,32.12790308475831,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.8361058993970355, 'e': 0.16696016966704072}",25,12,-18.21160395707382,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.835270211411272, 'e': 0.16529888822158656}",25,7,25.651519319880766,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8344353586957896, 'e': 0.16365413680270408}",20,5,24.982962022736437,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.8336013404157353, 'e': 0.16202575093388077}",30,15,-14.28779929282087,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.832768155737091, 'e': 0.16041356777517277}",35,11,-4.287668687368507,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
184,False,"{'a': 0.8319358038266718, 'e': 0.1588174261069207}",20,13,13.226392468652746,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.8311042838521256, 'e': 0.1572371663136276}",20,13,14.597631412772397,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.8302735949819328, 'e': 0.1556726303679973}",25,8,13.302065441662602,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.8294437363854039, 'e': 0.15412366181513143}",30,13,20.53099993939447,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.8286147072326806, 'e': 0.15259010575688386}",25,13,11.815074017371579,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.8277865066947336, 'e': 0.15107180883637084}",20,11,6.85952989818596,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.8269591339433623, 'e': 0.14956861922263504}",20,14,9.463515953133708,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.8261325881511938, 'e': 0.14808038659546244}",25,7,-16.567170626491436,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
192,False,"{'a': 0.8253068684916824, 'e': 0.14660696213035015}",25,15,5.413949395246409,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.8244819741391082, 'e': 0.14514819848362376}",20,15,7.692711926145453,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.8236579042685769, 'e': 0.14370394977770296}",20,15,9.371143212177309,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.8228346580560184, 'e': 0.1422740715865136}",25,4,-35.442964920617555,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 1}",1
196,False,"{'a': 0.8220122346781865, 'e': 0.140858420921045}",25,2,39.57698924811032,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.821190633312658, 'e': 0.13945685621505094}",25,13,3.529027921642883,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
198,False,"{'a': 0.8203698531378311, 'e': 0.13806923731089282}",30,15,-17.14862342284037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
199,False,"{'a': 0.8195498933329256, 'e': 0.13669542544552388}",20,10,19.293058153446932,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.8187307530779818, 'e': 0.1353352832366127}",20,8,26.492707633532923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.8179124315538594, 'e': 0.13398867466880496}",20,10,16.355163830727278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.8170949279422366, 'e': 0.13265546508012174}",20,11,-25.16090621077577,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
203,False,"{'a': 0.8162782414256099, 'e': 0.13133552114849306}",20,14,9.18854492343562,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.8154623711872927, 'e': 0.13002871087842593}",30,13,-22.609123105898014,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
205,False,"{'a': 0.8146473164114145, 'e': 0.12873490358780426}",30,21,16.746629439489062,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.8138330762829207, 'e': 0.12745396989482075}",30,18,21.316828532564394,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.813019649987571, 'e': 0.12618578170503877}",25,13,22.65780228276815,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.8122070367119391, 'e': 0.12493021219858243}",25,0,36.486483171386524,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
209,False,"{'a': 0.8113952356434114, 'e': 0.12368713581745484}",30,12,29.168861157921757,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.8105842459701871, 'e': 0.12245642825298192}",20,2,-32.25123532031061,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
211,False,"{'a': 0.8097740668812763, 'e': 0.1212379664333817}",25,1,32.77674576138824,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.8089646975664999, 'e': 0.12003162851145674}",20,11,17.783941329578287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.8081561372164884, 'e': 0.11883729385240967}",25,15,21.430782206975977,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.8073483850226815, 'e': 0.1176548430217792}",20,5,11.913791882634225,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.8065414401773269, 'e': 0.11648415777349698}",20,13,14.851675240883134,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.8057353018734796, 'e': 0.11532512103806253}",20,9,-4.607263289882337,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
217,False,"{'a': 0.8049299693050015, 'e': 0.11417761691083651}",20,12,16.22410253479649,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.8041254416665596, 'e': 0.11304153064044986}",30,16,15.014319130698478,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.8033217181536265, 'e': 0.11191674861732889}",20,3,27.119584386824144,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.8025187979624785, 'e': 0.11080315836233387}",30,15,-26.569400311261838,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
221,False,"{'a': 0.8017166802901953, 'e': 0.10970064851551142}",20,11,18.11096073194142,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.8009153643346592, 'e': 0.10860910882495797}",25,13,16.047325748018082,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.8001148492945541, 'e': 0.10752843013579497}",20,5,23.200989335963694,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.7993151343693651, 'e': 0.10645850437925282}",25,11,26.00857001388711,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.7985162187593771, 'e': 0.10539922456186435}",25,14,-3.064515245417132,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
226,False,"{'a': 0.7977181016656743, 'e': 0.10435048475476501}",25,14,22.654637516032988,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.7969207822901396, 'e': 0.10331218008310021}",20,7,8.267606473152851,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.7961242598354538, 'e': 0.10228420671553745}",20,16,8.605072934947188,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.795328533505094, 'e': 0.10126646185388341}",20,14,12.276254964047457,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.794533602503334, 'e': 0.10025884372280372}",25,13,22.899866951567358,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.7937394660352428, 'e': 0.09926125155964566}",20,12,5.477759884480186,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,6,22.216470250234725,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,17,14.36592266528355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,11,26.943217354853143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,21,17.558240808501015,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,21,17.778050844978736,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,9,20.45110490523165,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,17,12.165351638882226,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,13,16.51684341483015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,24.124941205834496,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,6.95398373762894,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,11,23.014094068581432,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,12,17.931260330214126,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",30,14,30.647381487161965,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",25,9,28.38528706396294,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,9,20.619289233697046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,12,15.278388459881524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,24,13.680209906351699,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,9,21.622004033993576,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,18,22.5970178549791,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,11,26.553477734221627,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",25,11,26.520526141694578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,16,19.15949805884657,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,11,26.666342232524396,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,13,13.0834690453545,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",30,16,28.30186664045209,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,8,21.812816360456903,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",25,19,11.755820712288132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",25,15,18.770263976726227,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,7,20.444530874073088,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,13,9.593290327605265,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",20,14,13.647883144357994,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,0,30.79727041249017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0, 'e': 0}",25,11,25.02939221093433,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",20,10,19.16208445570406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",20,11,19.376884837560727,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,10,15.03515269219172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",25,12,21.3920725263723,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,10,19.27594448489201,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",20,12,15.878569454702053,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",25,18,15.354585113287623,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",25,15,20.88556100291124,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,12,14.16918819425294,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",30,19,19.710745933485768,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",25,10,32.135913446359446,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",25,7,36.69356890703255,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",30,16,25.324303820294165,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",25,16,16.93352187055857,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",35,21,22.161080104928857,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,13,10.016146045618497,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",35,17,30.53475674730362,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
