trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.9607894391523232, 'e': 0.6703200460356393}",25,0,-129.00604702134638,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
41,False,"{'a': 0.9598291299477989, 'e': 0.6636502501363194}",20,7,-41.270648151617365,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
42,False,"{'a': 0.9588697805724845, 'e': 0.6570468198150569}",20,11,14.628657586772205,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.9579113900670306, 'e': 0.6505090947233165}",25,0,-1.1242251028804096,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.9569539574730467, 'e': 0.6440364210831414}",25,0,-53.38217325394544,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
45,False,"{'a': 0.9559974818331, 'e': 0.6376281516217733}",25,8,-55.41774890647393,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.9550419621907147, 'e': 0.631283645506926}",35,0,-56.022563180971346,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
47,False,"{'a': 0.9540873975903711, 'e': 0.6250022682827008}",20,0,-52.07655493985887,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.9531337870775047, 'e': 0.6187833918061408}",20,3,9.925603842931789,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.9521811296985049, 'e': 0.6126263941844161}",30,7,-80.3229500266005,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 2}",1
50,False,"{'a': 0.951229424500714, 'e': 0.6065306597126334}",35,4,-66.76752964450421,"{0: 20, 1: 3, 2: 8, 3: 0, 4: 0}",1
51,False,"{'a': 0.950278670532427, 'e': 0.600495578812266}",25,3,-92.6252638662281,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 1}",1
52,False,"{'a': 0.9493288668428895, 'e': 0.5945205479701944}",20,9,-20.64819090730207,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.9483800124822982, 'e': 0.5886049696783552}",30,7,-115.86485657054898,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 2}",1
54,False,"{'a': 0.9474321065017983, 'e': 0.5827482523739896}",25,8,-37.85842545645868,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.9464851479534838, 'e': 0.5769498103804866}",20,0,-69.25037036672363,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.9455391358903963, 'e': 0.5712090638488149}",20,5,-24.607097221719535,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.9445940693665233, 'e': 0.5655254386995371}",25,1,-99.6199349009985,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 1}",1
58,False,"{'a': 0.9436499474367985, 'e': 0.559898366565402}",20,5,-35.650249658939025,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.9427067691570997, 'e': 0.5543272847345071}",25,20,10.117447773422189,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.9417645335842487, 'e': 0.5488116360940265}",30,8,-108.12560057419888,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 3}",1
61,False,"{'a': 0.9408232397760097, 'e': 0.5433508690744998}",30,12,-66.7228127676948,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
62,False,"{'a': 0.9398828867910889, 'e': 0.5379444375946745}",30,0,-75.37851863354648,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
63,False,"{'a': 0.9389434736891332, 'e': 0.5325918010068972}",20,13,-24.799595791353333,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.9380049995307295, 'e': 0.5272924240430485}",30,0,-89.23912389482543,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.9370674633774034, 'e': 0.522045776761016}",20,3,15.367211075376872,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.9361308642916188, 'e': 0.5168513344916993}",20,0,-42.53732421462617,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.9351952013367766, 'e': 0.5117085777865424}",30,6,-4.442186051259824,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.9342604735772135, 'e': 0.5066169923655897}",20,8,-9.83652597505379,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.933326680078202, 'e': 0.5015760690660556}",35,20,-43.849669423529484,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.9323938199059483, 'e': 0.4965853037914095}",35,20,-39.822586985060525,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.9314618921275921, 'e': 0.49164419746096516}",30,3,-30.348637540923146,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 0}",1
72,False,"{'a': 0.9305308958112057, 'e': 0.4867522559599717}",20,12,-1.4940085386479558,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.9296008300257927, 'e': 0.48190899009020244}",25,0,3.049446317088967,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.9286716938412872, 'e': 0.47711391552103444}",25,18,10.0276708289916,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.9277434863285529, 'e': 0.47236655274101474}",35,9,-10.266020302341925,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.9268162065593822, 'e': 0.46766642700990924}",25,5,-52.02027371094181,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",20,16,10.462440300882866,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",20,1,-3.6549416997403164,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.9240399244450868, 'e': 0.45384479528235583}",20,0,4.471610149713516,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",25,0,-61.16983882668007,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",20,16,9.60566267210487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",20,16,5.7028015453457765,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",25,2,11.561260147127843,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",20,13,15.208124174488098,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",20,9,-36.29710134109691,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",20,13,6.100485852080432,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",30,6,2.9546019962055436,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",25,9,-18.06760189853036,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
89,False,"{'a': 0.9148455735744521, 'e': 0.4106557527523455}",30,0,-25.843173135133483,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
